dynamic form	https://codesandbox.io/s/angular-1guxu
	https://codesandbox.io/s/angular-8ph3z
Dynamic Select Boxes	
	https://stackoverflow.com/questions/39623000/2-0-0-version-cant-bind-to-ngif-since-it-isnt-a-known-property-of-div
shared components	https://codesandbox.io/s/angular-kozt1
Create Shareable Angular 2 Components	https://codesandbox.io/s/angular-kozt1
	
Routing	https://www.youtube.com/watch?v=QLns6s02O48
	https://codesandbox.io/s/07loopthroughangular2componentswithngfor-qmelc
Adding not found routes	https://codesandbox.io/s/07loopthroughangular2componentswithngfor-qzl5e
adding redirect	https://codesandbox.io/s/07loopthroughangular2componentswithngfor-fosqh
adding button to redirect in sub component	https://codesandbox.io/s/07loopthroughangular2componentswithngfor-dn7jl
adding a routing module	https://codesandbox.io/s/07loopthroughangular2componentswithngfor-4oi78
	https://angular.io/guide/router#milestone-2-routing-module
Organize the app and routes into feature areas using modules	
	
projection	https://angular-2-training-book.rangle.io/components/projection
view encapsulation	https://codesandbox.io/s/11-write-css-inside-of-angular-2-components-yfzu3
view encapsulation	https://blog.angular-university.io/angular-host-context/
	
	
Dependency injection	
	
basic	https://stackblitz.com/edit/angular-sh1xby?file=src%2Fapp%2Fapp.module.ts
	
provide in angular	https://itnext.io/understanding-provider-scope-in-angular-4c2589de5bc
factory provider	https://codesandbox.io/s/12applycssclassesconditionallywithangular2sngclass-qnbe0
Dependency Providers	https://angular.io/guide/dependency-injection-providers
providers	https://codesandbox.io/s/12applycssclassesconditionallywithangular2sngclass-itc1e
providers vs providein	https://medium.com/@tomastrajan/total-guide-to-angular-6-dependency-injection-providedin-vs-providers-85b7a347b59f
providein	https://codesandbox.io/s/12applycssclassesconditionallywithangular2sngclass-qnbe0
	
	
All about module	https://medium.com/@cyrilletuzi/understanding-angular-modules-ngmodule-and-their-scopes-81e4ed6f7407
	https://medium.com/@cyrilletuzi/architecture-in-angular-projects-242606567e40
Shareable Module	https://stackblitz.com/edit/angular-kawkxa?file=src/app/app.module.ts
	https://stackblitz.com/edit/angular-jeb4mf?file=src/home/home.component.ts
	
	https://www.freelancermap.com/freelancer-tips/12255-forroot-forchild-angular
